FID,FID_1,Name,Elevation,MaxDepth,new_area,val11_pct,val21_pct,val22_pct,val42_pct,val71_pc_1,total_LC,subcatchment,outlet_node,area,imperv
0,2,E133394,-0.89,5.37,95672.77603,0,0.064466835,0.539473776,0,0.395914123,0.999854734,E133394#1,E133394,1.658,42
2,3,E133401,-0.75,5.3,77313.49352,0,0.354186425,0.284295864,0.012808629,0.349313577,1.000604495,E133401#1,E133401,2.307,76
3,4,E133464,3.93,4.62,228315.5585,0,0.049926435,0.838566097,0.002687259,0.109328992,1.000508782,E133464#1,E133464,2.293,75
5,5,E133473,4.18,5.32,33607.0426,0,0.068221209,0.761643353,0.005124598,0.164307418,0.999296577,E133473#1,E133473,1.3,90
6,6,E133474,5.12,5.14,73103.40914,0,0.007656597,0.906570589,0,0.085989479,1.000216666,E133474#1,E133474,1.709,79
7,7,E133478,6.28,2.58,51855.69309,0,0.083444883,0.743116126,0.018058967,0.155265604,0.999885581,E133478#1,E133478,1.19,80
8,8,E133481,6.5,2.24,374656.6625,0,0.052403643,0.694549375,0.010601395,0.242682878,1.000237291,E133481#1,E133481,4.443,55
9,9,E133483,5.38,4.54,126929.3729,0,0.030528852,0.873888379,0.000169605,0.094809045,0.999395881,E133483#1,E133483,3.684,77
10,10,E134007,1.21,7.49,67432.31665,0,0.03719272,0.287644986,0.008140896,0.665957205,0.998935808,E134007#1,E134007,1.548,35
11,11,E134010,2.29,6.55,80061.95414,0,0.163350397,0.699516145,0.000941113,0.136058108,0.999865763,E134010#1,E134010,0.518,41
12,12,E134011,3.13,5.79,138234.9064,0,0.046642219,0.585947741,0.068289192,0.299787216,1.000666368,E134011#1,E134011,3.173,49
13,13,E134203,-0.35,6.09,112329.6858,0,0.050307746,0.730660124,0,0.218766828,0.999734698,E134203#1,E134203,2.579,85
14,15,E134212,1.41,4.43,17379.70232,0,0.034682931,0.878840706,0.005574043,0.080513948,0.999611628,E134212#1,E134212,1.208,69
15,16,E134213,2.09,4.42,17379.70232,0,0.034682931,0.878840706,0.005574043,0.080513948,0.999611628,E134213#1,E134213,0.399,93
16,17,E134217,3.46,5.09,17379.70232,0,0.034682931,0.878840706,0.005574043,0.080513948,0.999611628,E134217#1,E134217,1.54,77
17,18,E134219,0.81,5.99,166364.159,0,0.171004483,0.624622506,0.005434876,0.198955273,1.000017137,E134219#1,E134219,2.391,71
18,19,E134222,0.87,6.42,106003.7083,0,0.035641515,0.229080509,0.014520617,0.721156815,1.000399457,E134222#1,E134222,2.434,16
20,21,E134224.2,6.08,2.42,216823.7113,0,0.08106801,0.128179793,0.013304487,0.777468529,1.000020819,E134224.2#1,E134224.2,2.257,14
21,0,E13155,4.48,2.36,105865.9442,0,0.054904455,0.605779156,0.183726575,0.155664298,1.000074485,E13155#1,E13155,1.904,40
22,22,E134250,0.85,8.22,105865.9442,0,0.054904455,0.605779156,0.183726575,0.155664298,1.000074485,E134250#1,E134250,4.139,46
23,24,E134255,3.73,4.19,61870.71269,0,0.058629324,0.566982095,0.111865446,0.261831253,0.999308117,E134255#1,E134255,2.707,44
26,25,E134257,2.49,4.1,113458.8658,0,0.038043112,0.538390677,0.175510617,0.247612276,0.999556682,E134257#1,E134257,2.495,42
28,26,E134262,3.33,4.86,100321.4797,0,0.059655565,0.480356053,0.141199144,0.317912661,0.999123424,E134262#1,E134262,0.221,20
29,27,E134263,3.42,3.56,80254.03003,0,0.096702682,0.315323168,0.122990789,0.464065573,0.999082212,E134263#1,E134263,3.037,17
30,28,E134266,5.08,3.8,39115.1212,0,0.099066752,0.485977454,0.09493897,0.321416572,1.001399748,E134266#1,E134266,0.802,9
31,29,E134267,5.34,3.11,29648.02823,0,0.160470999,0.191330806,0.013070036,0.636075091,1.000946933,E134267#1,E134267,1.302,24
32,30,E134278,0.59,6.5,113660.9412,0,0.060514537,0.538664608,0.09148207,0.309485925,1.000147139,E134278#1,E134278,1.971,53
33,31,E134288,2.77,5.01,90822.97165,0,0.027969609,0.52146729,0.128233547,0.322361597,1.000032043,E134288#1,E134288,1.315,49
35,34,E143277,-1.05,5.73,182154.7763,0,0.012822989,0.598366763,0.048810088,0.341197876,1.001197715,E143277#1,E143277,0.331,40
38,35,E143278,0.66,4.05,48204.99563,0,0.04153278,0.382726798,0.130627291,0.441229961,0.99611683,E143278#1,E143278,1.182,54
40,36,E143280,-3.48,8.69,68018.62882,0,0.059501796,0.550866361,0.047949586,0.345300316,1.003618059,E143280#1,E143280,2.742,73
41,37,E143282,1.31,4.48,96949.3151,0,0.115023112,0.790062223,0.016653925,0.078939607,1.000678867,E143282#1,E143282,0.35,57
43,39,E143284,1.73,5.05,62672.86425,0,0.042249898,0.60867333,0.113353385,0.235809391,1.000086004,E143284#1,E143284,1.084,43
45,41,E143287,3.38,3.62,22726.86766,0,0.028890852,0.383159009,0.314957652,0.269490082,0.996497595,E143287#1,E143287,0.275,50
46,42,E143288,3.12,4.82,102466.8996,0,0.060402422,0.684280653,0.105993119,0.14916772,0.999843914,E143288#1,E143288,2.352,38
47,43,E143289,4.49,3.62,47401.85029,0,0.051546676,0.525458187,0.254781368,0.167810544,0.999596775,E143289#1,E143289,1.171,44
49,45,E143300,3.41,5.12,152136.0108,0,0.042592641,0.589151032,0.114476567,0.253504041,0.99972428,E143300#1,E143300,2.645,42
50,46,E143304,4.04,3.72,152136.0108,0,0.042592641,0.589151032,0.114476567,0.253504041,0.99972428,E143304#1,E143304,0.695,44
52,49,E143314,-2.17,8.24,59443.0811,0,0.03078348,0.660034023,0.036759097,0.271256781,0.998833381,E143314#1,E143314,2.33,48
53,50,E143315,1.22,5.25,146034.9833,0,0.066852936,0.653566684,0.135917104,0.143877542,1.000214266,E143315#1,E143315,3.353,43
54,51,E143319,0.75,5.16,153042.9701,0,0.087282766,0.481215699,0.147487477,0.283721738,0.999707679,E143319#1,E143319,1.452,57
55,52,E143321,1.43,4.75,74999.45715,0,0.042194837,0.812322371,0.052097707,0.093287905,0.99990282,E143321#1,E143321,2.006,53
56,63,E143358,1.93,3.94,74999.45715,0,0.042194837,0.812322371,0.052097707,0.093287905,0.99990282,E143358#1,E143358,1.319,79
57,53,E143327,-1.87,6,131068.7937,0,0.070380382,0.781985999,0.026690343,0.120640352,0.999697077,E143327#1,E143327,1.735,77
58,54,E143329,0.96,2.98,131068.7937,0,0.070380382,0.781985999,0.026690343,0.120640352,0.999697077,E143329#1,E143329,2.345,84
59,55,E143335,-1.75,6,24776.56357,0,0.147709337,0.530450295,0.033017381,0.291508721,1.002685734,E143335#1,E143335,0.896,82
60,56,E143339,-1.33,5.61,98895.31302,0,0.016870428,0.828283576,0.034285063,0.120378664,0.99981773,E143339#1,E143339,2.27,71
61,74,E145010,-2.29,6.79,98895.31302,0,0.016870428,0.828283576,0.034285063,0.120378664,0.99981773,E145010#1,E145010,0.167,65
62,57,E143340,-0.91,5.96,66116.48768,0,0.109403093,0.740098901,0.004721264,0.144568373,0.998791632,E143340#1,E143340,0.271,84
63,59,E143352,-1.37,5.94,38671.46166,0,0.078214241,0.75319479,0.020319002,0.147521522,0.999249555,E143352#1,E143352,0.642,92
65,77,E146003,-1.86,7.14,38671.46166,0,0.078214241,0.75319479,0.020319002,0.147521522,0.999249555,E146003#1,E146003,1.351,58
66,62,E143356,1.18,3.99,62276.08962,0,0.082618378,0.777615235,0.002765469,0.137236385,1.000235467,E143356#1,E143356,1.43,86
68,64,E143361,-1.63,5.79,43877.35434,0,0.057159127,0.32504654,0.132962434,0.485239288,1.000407389,E143361#1,E143361,1.496,50
70,66,E143366,-1.49,6.22,51456.53719,0,0.09622488,0.399542436,0.081791148,0.422134364,0.999692828,E143366#1,E143366,0.692,14
71,67,E143369,-1.18,6.69,71770.63818,0,0.026695822,0.426683221,0.048292442,0.497922072,0.999593557,E143369#1,E143369,2.058,43
72,68,E143373,-1.21,6.84,41440.34806,0,0.039481196,0.850663919,0.016883406,0.09376784,1.00079636,E143373#1,E143373,0.541,90
74,70,E143393,-0.96,5.96,95810.48723,0,0.055274161,0.111784126,0.060779108,0.772939482,1.000776876,E143393#1,E143393,10.886,18
75,72,E144050,-1.73,7.22,75407.47295,0,0.011847693,0.79336723,0.007993624,0.186422742,0.99963129,E144050#1,E144050,0.626,63
77,73,E144272,0.14,7.94,201567.3366,0,0.035618513,0.663241268,0.100180404,0.201055022,1.000095207,E144272#1,E144272,4.225,81
78,75,E145011,3.17,5.52,16115.67784,0,0.080149861,0.73403914,0.004675409,0.180337186,0.999201596,E145011#1,E145011,0.203,69
80,76,E146002,-1.99,9.5,71377.86949,0,0.065297179,0.665337536,0.107672484,0.161207123,0.999514322,E146002#1,E146002,0.288,68
81,80,F13250,0.39,9.33,31132.75752,0,0.029042353,0.44842776,0.041834818,0.480927535,1.000232466,F13250#1,F13250,0.263,69
83,81,F13251,0.96,8.95,25495.81099,0,0.151141698,0.528995945,0,0.316215453,0.996353096,F13251#1,F13251,0.585,65
84,82,F13252,2.08,7.68,14883.92554,0,0.206109246,0.468627338,0,0.324712461,0.999449044,F13252#1,F13252,1.226,49
85,83,F13255,2.63,6.5,240333.5846,0,0.107579282,0.404295661,0.157920295,0.330396488,1.000191726,F13255#1,F13255,5.517,43
86,84,F13259,0.97,8.14,76080.72758,0,0.039189996,0.578936685,0.045556601,0.336156785,0.999840067,F13259#1,F13259,0.453,72
87,85,F13260,3.95,4.9,76080.72758,0,0.039189996,0.578936685,0.045556601,0.336156785,0.999840067,F13260#1,F13260,1.615,66
90,88,F13264,2.08,8.8,90038.48043,0,0.070294164,0.516088277,0,0.41351618,0.999898622,F13264#1,F13264,1.429,46
91,89,F13269,2.15,8.68,119738.1095,0,0.113897534,0.471771316,0.111740043,0.302228499,0.999637392,F13269#1,F13269,1.805,48
93,91,F13277,4.93,6.65,320479.0778,0,0.109594181,0.451072585,0.140091121,0.299461144,1.000219031,F13277#1,F13277,0.532,66
94,92,F13281,5.36,5.4,150092.8648,0,0.060599182,0.555217598,0.102265602,0.281911699,0.999994082,F13281#1,F13281,2.807,67
95,94,F13290,5.39,6,150092.8648,0,0.060599182,0.555217598,0.102265602,0.281911699,0.999994082,F13290#1,F13290,0.141,68
96,93,F13289,7.09,3.86,199280.9726,0,0.084531507,0.636768008,0.019498961,0.259157936,0.999956412,F13289#1,F13289,2.626,89
97,95,F13291,5.48,4.44,95699.97653,0,0.063436231,0.636836778,0.008998047,0.290187016,0.999458073,F13291#1,F13291,1.073,75
98,96,F13292,5.7,4.49,20369.60589,0,0.094060542,0.667935536,0.01849505,0.220355315,1.000846445,F13292#1,F13292,0.997,90
99,97,F13295,6.15,4.16,23044.42341,0,0.079405974,0.82582213,0,0.095287169,1.000515273,F13295#1,F13295,0.37,88
100,98,F133438,1.26,4.85,391237.7031,0,0.043799834,0.754721764,0.010454734,0.19090895,0.999885283,F133438#1,F133438,6.963,71
101,99,F133448,2.7,5.2,421444.872,0,0.028886301,0.873561588,0.011212278,0.086429039,1.000089205,F133448#1,F133448,0.577,79
102,100,F133451,2.6,5.53,421444.872,0,0.028886301,0.873561588,0.011212278,0.086429039,1.000089205,F133451#1,F133451,1.844,67
103,101,F133452,4.88,4.27,421444.872,0,0.028886301,0.873561588,0.011212278,0.086429039,1.000089205,F133452#1,F133452,7.831,73
104,102,F133459,2.39,5.51,115564.6695,0,0.018907803,0.898726044,0.001676554,0.080195163,0.999505563,F133459#1,F133459,2.763,84
105,105,F133464,2.79,5.62,115564.6695,0,0.018907803,0.898726044,0.001676554,0.080195163,0.999505563,F133464#1,F133464,5.173,80
106,103,F133462,6.06,2.75,82735.52003,0,0.036037767,0.909400686,0.004033107,0.050869194,1.000340754,F133462#1,F133462,2.337,92
107,104,F133463,7.09,3.13,233313.5777,0,0.013010057,0.932571954,0.00018454,0.054116301,0.999882852,F133463#1,F133463,3.353,80
108,106,F133469,5.08,5.11,123411.6002,0,0.024857588,0.89138437,0.005407616,0.078235986,0.999885559,F133469#1,F133469,3.757,78
110,107,F134104,1.3,4.66,113730.9222,0,0.333334982,0.025175214,0,0.641589393,1.00009959,F134104#1,F134104,2.611,70
112,109,F134118,4.34,3.26,396300.5147,0,0.021701625,0.355673058,0.054294803,0.568343546,1.000013031,F134118#1,F134118,7.381,29
113,110,F134126,4.42,3.86,117194.3899,0,0.016073162,0.342220586,0.121237567,0.520862303,1.000393618,F134126#1,F134126,4.996,53
114,112,F134147,5.7,3.31,52768.25817,0,0.02672198,0.421228163,0.001019923,0.551574311,1.000544377,F134147#1,F134147,0.889,35
116,113,F134200,0.47,5.44,59825.20126,0,0.087082582,0.6248715,0.001799227,0.286256999,1.000010308,F134200#1,F134200,0.732,92
117,114,F134230,0.93,5,59825.20126,0,0.087082582,0.6248715,0.001799227,0.286256999,1.000010308,F134230#1,F134230,4.025,83
118,115,F134231,3.72,4.27,147066.2702,0,0.126473857,0.819884342,0,0.053282967,0.999641167,F134231#1,F134231,3.645,83
121,117,F135999,4.94,4.51,321389.9847,0,0.023310254,0.429263683,0.067318406,0.479836217,0.99972856,F135999#1,F135999,4.176,8
122,118,F139004,6.8,4.28,77461.37893,0,0.056000245,0.690067532,0.000416875,0.253043289,0.999527941,F139004#1,F139004,1.943,49
123,119,F139015,4.58,4.94,51457.56416,0,0.116513453,0.673769896,0.002300984,0.207716084,1.000300417,F139015#1,F139015,2.013,21
124,121,F139025,6.02,2.82,15990.60467,0,0.255793093,0.742473108,0,0.001346279,0.99961248,F139025#1,F139025,0.367,53
125,122,F139026,4.51,3.69,45698.86261,0,0.037450864,0.910833265,0.00070662,0.051347725,1.000338474,F139026#1,F139026,0.632,73
